

🐉直播中国,#genre#
泰山白云亭悬崖,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
泰山碧霞祠,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
浙江乌镇全景,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8?contentid=2820180516001
浙江普陀山,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8?contentid=2820180516001
浙江舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
湖南张家界天门山天空步道,https://mlivewbndtxy.liveplay.myqcloud.com/mlivewbnd/mlive_djy03_2/index.m3u8
湖南张家界天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
湖南张家界宝峰湖,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8
湖南张家界将军列队,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8
湖南张家界御笔峰,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
湖南张家界水绕四门,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
狮子山鸟瞰丽江古城,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8
直播中国精编直播,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
福建武夷山玉女峰,https://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8
福建漳州醉美沙滩翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
都江堰鱼嘴,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
陕西洋县国宝朱鹮02,https://gcalic.v.myalicdn.com/gc/zh02_1/index.m3u8
陕西洋县国宝朱鹮03,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
雪乡大石碑,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
雪乡梦幻家园,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8
青岛崂山八水河,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
青岛崂山双福,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
鸣沙山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
黄山,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
黄山卧云峰,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8
黄山始信新道,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
黄山排云亭,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8
黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8
黄果树六角亭瀑布,https://gcalic.v.myalicdn.com/gc/hgsspzxdpb_1/index.m3u8
黄花城水长城01,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8
黄花城水长城02,http://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8
黄花城水长城03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8


🐉央視V4,#genre#

CCTV-1综合,http://goo.bkpcp.top/mg/cctv1
CCTV-2财经,http://goo.bkpcp.top/mg/cctv2
CCTV-3综艺,http://goo.bkpcp.top/mg/cctv3
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4
CCTV-5体育,http://goo.bkpcp.top/mg/cctv5
CCTV-6电影,http://goo.bkpcp.top/mg/cctv6
CCTV-7国防军事,http://goo.bkpcp.top/mg/cctv7
CCTV-8电视剧,http://goo.bkpcp.top/mg/cctv8
CCTV-9纪录,http://goo.bkpcp.top/mg/cctv9
CCTV-10科教,http://goo.bkpcp.top/mg/cctv10
CCTV-11戏曲,http://goo.bkpcp.top/mg/cctv11
CCTV-12社会与法,http://goo.bkpcp.top/mg/cctv12
CCTV-13新闻,http://goo.bkpcp.top/mg/cctv13
CCTV-14少儿,http://goo.bkpcp.top/m



CCTV-1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1综合,http://111.221.137.228:8278/cctv1/playlist.m3u8$720P
CCTV-1综合,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226016
CCTV-2财经,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-3综艺,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV-4中文国际,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226428
CCTV-5体育,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV-5+体育赛事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV-6电影,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV-7国防军事,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-8电视剧,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-9纪录,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-10科教,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225730
CCTV-11戏曲,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-12社会与法,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-13新闻,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226011
CCTV-14少儿,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-15音乐,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226476
CCTV-16奥林匹克,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226100
CCTV-17农业农村,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765
CCTV-4K超高清,http://ls-arca4.jsbtv.cc/live/cctv4k.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西班牙语,https://0472.org/hls/cgtnx.m3u8
CGTN阿拉伯语,https://0472.org/hls/cgtna.m3u8
CGTN,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?
CGTN纪录,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8?
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN西班牙语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN阿拉伯语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
中国教育1台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225652
中国教育2台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226425
中国教育4台,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225783

CCTV-1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-2财经,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV-5体育,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV-5+体育赛事,http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
CCTV-6电影,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV-7国防军事,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV-8电视剧,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV-9纪录,https://tv.bfsu.edu.cn/hls/cctv9hd.m3u8
CCTV-10科教,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV-11戏曲,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV-12社会与法,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV-13新闻,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV-14少儿,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV-15音乐,https://tv.bfsu.edu.cn/hls/cctv15hd.m3u8
CCTV-16奥林匹克,https://tv.bfsu.edu.cn/hls/cctv16hd.m3u8
CCTV-17农业农村,https://tv.bfsu.edu.cn/hls/cctv17hd.m3u8

CCTV-1综合,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV-2财经,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV-3综艺,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008883/bestzb/index.m3u8
CCTV-4中文国际,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031102/bestzb/index.m3u8
CCTV-5体育,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008885/bestzb/index.m3u8
CCTV-5+体育赛事,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031127/bestzb/index.m3u8
CCTV-6电影,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008886/bestzb/index.m3u8
CCTV-7国防军事,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031104/bestzb/index.m3u8
CCTV-8电视剧,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000008888/bestzb/index.m3u8
CCTV-9纪录,http://mcr.sakuramoe.dev:5000/TVOD/1000000001000014583/ystenlive/index.m3u8
CCTV-10科教,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000012827/bestzb/index.m3u8
CCTV-11戏曲,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031106/bestzb/index.m3u8
CCTV-12社会与法,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031107/bestzb/index.m3u8
CCTV-13新闻,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031108/bestzb/index.m3u8
CCTV-14少儿,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006673/bestzb/index.m3u8
CCTV-15音乐,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031109/bestzb/index.m3u8
CCTV-16奥林匹克,http://mcr.sakuramoe.dev:5000/TVOD/5000000008000023253/bestzb/index.m3u8
CCTV-17农业农村,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000268004/ystenlive/index.m3u8
CGTN,http://mcr.sakuramoe.dev:5000/TVOD/7745129417417101820/hnbblive/index.m3u8
CGTN阿拉伯语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280001/ystenlive/index.m3u8
CGTN俄语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280004/ystenlive/index.m3u8
CGTN法语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280003/ystenlive/index.m3u8
CGTN纪录,http://mcr.sakuramoe.dev:5000/TVOD/7114647837765104058/hnbblive/index.m3u8
CGTN西班牙语,http://mcr.sakuramoe.dev:5000/TVOD/1000000006000280002/ystenlive/index.m3u8
中国教育1台,http://mcr.sakuramoe.dev:5000/TVOD/5000000002000002652/bestzb/index.m3u8
中国教育2台,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000047/hnbblive/index.m3u8
中国教育4台,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031126/bestzb/index.m3u8

CCTV-1综合,http://ms.fxim.net:808/hls/1/index.m3u8
CCTV-2财经,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-3综艺,http://ms.fxim.net:808/hls/3/index.m3u8
CCTV-4中文国际,http://ms.fxim.net:808/hls/4/index.m3u8
CCTV-5体育,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV-5+体育赛事,http://ms.fxim.net:808/hls/13/index.m3u8
CCTV-6电影,http://ms.fxim.net:808/hls/6/index.m3u8
CCTV-7国防军事,http://ms.fxim.net:808/hls/7/index.m3u8
CCTV-8电视剧,http://ms.fxim.net:808/hls/8/index.m3u8
CCTV-9纪录,http://ms.fxim.net:808/hls/9/index.m3u8
CCTV-10科教,http://ms.fxim.net:808/hls/10/index.m3u8
CCTV-11戏曲,http://ms.fxim.net:808/hls/11/index.m3u8
CCTV-12社会与法,http://ms.fxim.net:808/hls/12/index.m3u8

CCTV-1综合,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8
CCTV-2财经,http://jf.jxx2023.work:40446/tsfile/live/0002_1.m3u8
CCTV-7国防军事,http://jf.jxx2023.work:40446/tsfile/live/0007_1.m3u8
CCTV-9纪录,http://jf.jxx2023.work:40446/tsfile/live/0011_3.m3u8
CCTV-10科教,http://jf.jxx2023.work:40446/tsfile/live/0010_1.m3u8
CCTV-12社会与法,http://jf.jxx2023.work:40446/tsfile/live/0012_1.m3u8




🐉卫視V4,#genre#


东方卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226345
浙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226339
江苏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226310
湖南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226307
广东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226248
深圳卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226313
北京卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226450
东南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226341
吉林卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226397
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
山东卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226456
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549
辽宁卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226546
江西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226344
河北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226406
河南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226480
海南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226465
湖北卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226477
贵州卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226474
重庆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226409
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444
黑龙江卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226585
内蒙古卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225634
宁夏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225632
山西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225624
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635
甘肃卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225633
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638
陕西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225625
青海卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225628
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226433
延边卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226516
兵团卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226439
康巴卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225660
安多卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225659


湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
西藏卫视,http://iptv.huuc.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://iptv.huuc.edu.cn/hls/nmtv.m3u8
青海卫视,http://iptv.huuc.edu.cn/hls/qhtv.m3u8
厦门卫视,http://iptv.huuc.edu.cn/hls/xmtv.m3u8
新疆卫视,http://iptv.huuc.edu.cn/hls/xjtv.m3u8
云南卫视,http://iptv.huuc.edu.cn/hls/yntv.m3u8
宁夏卫视,http://iptv.huuc.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://iptv.huuc.edu.cn/hls/gstv.m3u8
兵团卫视,http://iptv.huuc.edu.cn/hls/bttv.m3u8

北京卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000031556/bestzb/index.m3u8
东方卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014098/bestzb/index.m3u8
浙江卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000007275/bestzb/index.m3u8
江苏卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000019351/bestzb/index.m3u8
湖南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006692/bestzb/index.m3u8
广东卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014694/bestzb/index.m3u8
深圳卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000007410/bestzb/index.m3u8
四川卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006119/bestzb/index.m3u8
安徽卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000023002/bestzb/index.m3u8
兵团卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266005/ystenlive/index.m3u8
东南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000010584/bestzb/index.m3u8
甘肃卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031121/bestzb/index.m3u8
大湾区卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000011619/ystenlive/index.m3u8
广西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031118/bestzb/index.m3u8
贵州卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025843/bestzb/index.m3u8
海南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006211/bestzb/index.m3u8
河北卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031119/bestzb/index.m3u8
黑龙江卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025203/bestzb/index.m3u8
湖北卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000014954/bestzb/index.m3u8
吉林卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031117/bestzb/index.m3u8
延边卫视,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000049/hnbblive/index.m3u8
江西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000011210/bestzb/index.m3u8
辽宁卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000011671/bestzb/index.m3u8
内蒙古卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000014080/hnbblive/index.m3u8
宁夏卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000031451/hnbblive/index.m3u8
青海卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000013359/hnbblive/index.m3u8
厦门卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266006/ystenlive/index.m3u8
山东卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000020424/bestzb/index.m3u8
山西卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000006000040023/bestzb/index.m3u8
农林卫视,http://mcr.sakuramoe.dev:5000/TVOD/2000000003000000046/hnbblive/index.m3u8
陕西卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000007495/hnbblive/index.m3u8
康巴卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000003000001598/bestzb/index.m3u8
天津卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000006827/bestzb/index.m3u8
西藏卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000015894/ystenlive/index.m3u8
新疆卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000002000029441/ystenlive/index.m3u8
云南卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000011000031120/bestzb/index.m3u8
重庆卫视,http://mcr.sakuramoe.dev:5000/TVOD/5000000004000025797/bestzb/index.m3u8
安多卫视,http://mcr.sakuramoe.dev:5000/TVOD/1000000005000266001/ystenlive/index.m3u8

浙江卫视,http://ms.fxim.net:808/hls/14/index.m3u8
江苏卫视,http://ms.fxim.net:808/hls/16/index.m3u8
东方卫视,http://ms.fxim.net:808/hls/17/index.m3u8
安徽卫视,http://ms.fxim.net:808/hls/18/index.m3u8
重庆卫视,http://ms.fxim.net:808/hls/19/index.m3u8
四川卫视,http://ms.fxim.net:808/hls/20/index.m3u8
天津卫视,http://ms.fxim.net:808/hls/21/index.m3u8
北京卫视,http://ms.fxim.net:808/hls/22/index.m3u8
青海卫视,http://ms.fxim.net:808/hls/23/index.m3u8
辽宁卫视,http://ms.fxim.net:808/hls/24/index.m3u8
江西卫视,http://ms.fxim.net:808/hls/25/index.m3u8
甘肃卫视,http://ms.fxim.net:808/hls/26/index.m3u8
