央卫秒开,#genre#
刘亦菲,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11336590
韩国剧情,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352884
国产科幻,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602077
港片剧情,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342423
马冬梅,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602044
歌神学友,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352894
望子成龙,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352897
盗墓鬼片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342395
金庸武侠,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342435
警匪片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342419
盗墓,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352913
战争片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601977
香港警匪,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11336571
鬼片搞笑,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352909
港台直播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602033
周星星,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352965
大陆古装,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352969
胡歌,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059580
战争片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601981
港台另类,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601960
欧美悬疑,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352903
胡歌古装,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059596
刘德华,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059554
陈翔六点半,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11274154
大陆警匪,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=18715610
解说阿三,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=24396360
屁孩动漫,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=18632116
虎牙解说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=24396472
解说电影,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=15870999
萌哒小哥,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=15978172
解说欧美,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16615910
解说小片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=13303478
解说敢死队,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16028551
解说小黑,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16604522
解说大片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21277391
科幻解说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=15152155
亮哥解说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16144175
虎牙直播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=15894162
虎牙动漫,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=17341907
怪物解说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=20343144
军阀电影,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16865726
去皮解说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=16968572
周润发,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342387
周润发,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342387
林正英,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342421
港澳台,#genre#
CHC动作电影,http://171.108.239.80:8181/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://171.108.239.80:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://171.108.239.80:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://171.108.239.80:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8
Now新聞,http://120.78.6.151:8968/1.php?id=332
Now直播,http://120.78.6.151:8968/1.php?id=331
Now財經,http://120.78.6.151:8968/1.php?id=333
鳳凰中文,http://120.78.6.151:8968/1.php?id=182
鳳凰資訊,http://120.78.6.151:8968/1.php?id=183
鳳凰香港,http://120.78.6.151:8968/1.php?id=184
緯來體育,http://120.78.6.151:8968/1.php?id=121
體育1台,http://120.78.6.151:8968/1.php?id=159
體育2台,http://120.78.6.151:8968/1.php?id=160
體育3台,http://120.78.6.151:8968/1.php?id=161
金马影院,http://pull.kktv8.com/livekktv/128600025.flv
金马影院,http://pull.kktv8.com/livekktv/128600025.flv
凤凰卫视,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8577/.m3u8
爆谷星影台,http://8.134.254.104:9999/channel/n7142cd1f/index.m3u8?q=a36a8d63618de318ea1bcb9fdb6ed6d0
爆谷台,http://8.134.254.104:9999/channel/n7142cd1f/index.m3u8?q=a36a8d63618de318ea1bcb9fdb6ed6d0
爆谷台,http://8.134.254.104:9999/channel/n7142cd1f/index.m3u8?q=a36a8d63618de318ea1bcb9fdb6ed6d0
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
TVB-Plus,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
纬来体育,http://mtw.so/5yqGDH
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
TVB-Plus,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
纬来体育,http://mtw.so/5yqGDH
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
翡翠台,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
ViuTVsix,http://zsntlqj.xicp.net:8895/bysid/96.m3u8
ViuTV,http://zsntlqj.xicp.net:8895/bysid/99.m3u8
明珠台,http://zsntlqj.xicp.net:8896/bysid/2.m3u8
TVB Plus,http://zsntlqj.xicp.net:8896/bysid/82.m3u8
無綫新聞台,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
鳳凰衛視香港台,http://zsntlqj.xicp.net:8896/bysid/85.m3u8
HOY 國際財經台,http://113.83.152.56:8554/bysid/76
HOY TV,http://113.83.152.56:8554/bysid/77
HOY 資訊台,http://113.83.152.56:8554/bysid/78
翡翠台,http://113.83.152.56:8555/bysid/1
ViuTVsix,http://113.83.152.56:8555/bysid/96
ViuTV,http://113.83.152.56:8555/bysid/99
HOY 國際財經台,http://113.83.152.56:8181/bysid/76
HOY TV,http://113.83.152.56:8181/bysid/77
HOY 資訊台,http://113.83.152.56:8181/bysid/78
翡翠台,http://113.83.152.56:8182/bysid/1
ViuTVsix,http://113.83.152.56:8182/bysid/96
ViuTV,http://113.83.152.56:8182/bysid/99
翡翠台,http://124.244.149.194:65530/bysid/1
ViuTVsix,http://124.244.149.194:65530/bysid/96
ViuTV,http://124.244.149.194:65530/bysid/99
明珠台,http://124.244.149.194:65531/bysid/2
TVB Plus,http://124.244.149.194:65531/bysid/82
無綫新聞台,http://124.244.149.194:65531/bysid/83
鳳凰衛視香港台,http://124.244.149.194:65531/bysid/85
🇭🇰台湾港台,#genre#操你个冰姐梦姐
凤凰卫视中文台,http://117.114.153.26:8180/TV00000000000000000069@HHZT
凤凰卫视资讯台,http://117.114.153.26:8180/TV00000000000000000068@HHZT
凤凰电影,http://117.114.153.26:8180/TV00000000000000000072@HHZT
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
好莱坞电影,http://117.114.153.26:8180/TV00000000000000000075@HHZT
axn电影,http://117.114.153.26:8180/TV00000000000000000076@HHZT
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线华丽台,http://php.jdshipin.com:8880/smt.php?id=Wlt
无线Plus台,http://php.jdshipin.com:8880/smt.php?id=j2_twn
无线明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
VIUTV台粤,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
无线星河国,http://php.jdshipin.com:8880/smt.php?id=Xinhe
无线星河备,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐备,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
无线功夫台,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
重温经典台,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
凤凰卫视台,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
澳门莲花台,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
澳视澳门台,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳视卫星台,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳视综艺台,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
澳视葡文台,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳门体育台,http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
耀才财经台,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
民视闽南台,rtmp://f13h.mine.nu/sat/tv051
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
AMC 电影,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
台湾频道,http://61.221.215.25:8800/hls/47/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
CCTV6,http://ygbh.live/1905.php?id=cctv6
1905国内电影,http://ygbh.live/1905.php?id=1905a
1905国外电影,http://ygbh.live/1905.php?id=1905b
探索,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
动漫,http://61.221.215.25:8800/hls/40/index.m3u8
壹電視新聞台,P2p://generationnexxxt.com:19806/31dad83ef5b74c5db225482cd2e0fbae
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8
凤凰卫视中文台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰卫视资讯台,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
欧洲华文频道,http://vvlive.eztv.vip/hwetnew/hwetnew.m3u8?auth_key=1710810771-0-0-c5ce71079eaa4d245127b05375ae371f
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8 
BBC新闻,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
ASTV亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
经典重温,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
经典重温,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
澳视澳门,http://183.237.246.14:9931/tsfile/live/1039_1.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
TVB功夫台(粤),http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8TVB星河台(粤),http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
澳门莲花卫视,http://php.jdshipin.com:8880/amlh.php
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
华丽翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
TVB Plus,http://ha.jmied.com/aa/aa.m3u8?auth_key=1661958232-0-0-114df08fce17ecb21f6bf42de85e7600
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB星河国语,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
千禧经典台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
Astro AOD,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
