全网,#genre#
北京卫视,http://dp.sxtv.top:88/live/bestv.php?id=bjws
天津卫视,http://dp.sxtv.top:88/live/bestv.php?id=tjws
辽宁卫视,http://dp.sxtv.top:88/live/bestv.php?id=lnws
吉林卫视,http://dp.sxtv.top:88/live/bestv.php?id=jlws
黑龙江卫视,http://dp.sxtv.top:88/live/bestv.php?id=hljws
陕西卫视,http://dp.sxtv.top:88/live/bestv.php?id=sxws
山西卫视,http://dp.sxtv.top:88/live/bestv.php?id=shanxi
甘肃卫视,http://dp.sxtv.top:88/live/bestv.php?id=gsws
宁夏卫视,http://dp.sxtv.top:88/live/bestv.php?id=nxws
青海卫视,http://dp.sxtv.top:88/live/bestv.php?id=qhws
西藏卫视,http://dp.sxtv.top:88/live/bestv.php?id=xzws
新疆卫视,http://dp.sxtv.top:88/live/bestv.php?id=xjws
兵团卫视,http://dp.sxtv.top:88/live/bestv.php?id=btws
内蒙古卫视,http://dp.sxtv.top:88/live/bestv.php?id=nmgws
康巴卫视,http://dp.sxtv.top:88/live/bestv.php?id=kbws
卡酷少儿,http://dp.sxtv.top:88/live/bestv.php?id=kkse
金鹰卡通,http://dp.sxtv.top:88/live/bestv.php?id=jykt
哈哈炫动,http://dp.sxtv.top:88/live/bestv.php?id=hhxd
嘉佳卡通,http://dp.sxtv.top:88/live/bestv.php?id=jjkt
中国天气,http://dp.sxtv.top:88/live/bestv.php?id=zgtq
财富天下,http://dp.sxtv.top:88/live/bestv.php?id=cftx
茶频道,http://dp.sxtv.top:88/live/bestv.php?id=cpd
快乐垂钓,http://dp.sxtv.top:88/live/bestv.php?id=klcd
欢笑剧场4K,http://dp.sxtv.top:88/live/bestv.php?id=hxjc
欢笑剧场4K,http://dp.sxtv.top:88/live/bestv.php?id=hxjc4k
都市剧场,http://dp.sxtv.top:88/live/bestv.php?id=dsjc
动漫秀场,http://dp.sxtv.top:88/live/bestv.php?id=dmxc
乐游,http://dp.sxtv.top:88/live/bestv.php?id=leyou
游戏风云,http://dp.sxtv.top:88/live/bestv.php?id=yxfy
劲爆体育,http://dp.sxtv.top:88/live/bestv.php?id=jbty
魅力足球,http://dp.sxtv.top:88/live/bestv.php?id=mlzq
新视觉,http://dp.sxtv.top:88/live/bestv.php?id=xsj
法治天地,http://dp.sxtv.top:88/live/bestv.php?id=fztd
金色学堂,http://dp.sxtv.top:88/live/bestv.php?id=jsxt
七彩戏剧,http://dp.sxtv.top:88/live/bestv.php?id=qcxj
生活时尚,http://dp.sxtv.top:88/live/bestv.php?id=shss
东方财经,http://dp.sxtv.top:88/live/bestv.php?id=dfcj
星光影院,http://dp.sxtv.top:88/live/bestv.php?id=xgyy
谍战剧场,http://dp.sxtv.top:88/live/bestv.php?id=dzjc
华语影院,http://dp.sxtv.top:88/live/bestv.php?id=hyyy
全球大片,http://dp.sxtv.top:88/live/bestv.php?id=qqdp
热门剧场,http://dp.sxtv.top:88/live/bestv.php?id=rmjc
青春动漫,http://dp.sxtv.top:88/live/bestv.php?id=qcdm
宝宝动画,http://dp.sxtv.top:88/live/bestv.php?id=bbdh
电竞天堂,http://dp.sxtv.top:88/live/bestv.php?id=djtt
热门综艺,http://dp.sxtv.top:88/live/bestv.php?id=rmzy
健康养生,http://dp.sxtv.top:88/live/bestv.php?id=jkys
戏曲精选,http://dp.sxtv.top:88/live/bestv.php?id=xqjx
百变课堂,http://dp.sxtv.top:88/live/bestv.php?id=bbkt
看天下精选,http://dp.sxtv.top:88/live/bestv.php?id=ktxjx
东方影视,http://dp.sxtv.top:88/live/bestv.php?id=dfys
纪实人文,http://dp.sxtv.top:88/live/bestv.php?id=jsrw
金鹰纪实,http://dp.sxtv.top:88/live/bestv.php?id=jyjs
北京纪实科教,http://dp.sxtv.top:88/live/bestv.php?id=bjjskj
五星体育,http://dp.sxtv.top:88/live/bestv.php?id=wxty
第一财经,http://dp.sxtv.top:88/live/bestv.php?id=dycj
海峡卫视,http://dp.sxtv.top:88/live/bestv.php?id=hxws

中移,#genre#
CCTV1,http://8.134.82.80:32858/ysp04/haiouysp.php?id=1
CCTV2,http://8.134.82.80:32858/ysp04/haiouysp.php?id=2
CCTV3,http://8.134.82.80:32858/ysp04/haiouysp.php?id=3
CCTV4,http://8.134.82.80:32858/ysp04/haiouysp.php?id=4
CCTV5,http://8.134.82.80:32858/ysp04/haiouysp.php?id=5
CCTV5+,http://8.134.82.80:32858/ysp04/haiouysp.php?id=6
CCTV6,http://8.134.82.80:32858/ysp04/haiouysp.php?id=7
CCTV7,http://8.134.82.80:32858/ysp04/haiouysp.php?id=8
CCTV8,http://8.134.82.80:32858/ysp04/haiouysp.php?id=9
CCTV9,http://8.134.82.80:32858/ysp04/haiouysp.php?id=10
CCTV10,http://8.134.82.80:32858/ysp04/haiouysp.php?id=11
CCTV11,http://8.134.82.80:32858/ysp04/haiouysp.php?id=12
CCTV12,http://8.134.82.80:32858/ysp04/haiouysp.php?id=13
CCTV13,http://8.134.82.80:32858/ysp04/haiouysp.php?id=14
CCTV14,http://8.134.82.80:32858/ysp04/haiouysp.php?id=15
CCTV15,http://8.134.82.80:32858/ysp04/haiouysp.php?id=16
CCTV16,http://8.134.82.80:32858/ysp04/haiouysp.php?id=17
CCTV17,http://8.134.82.80:32858/ysp04/haiouysp.php?id=18
CCTV4k,http://8.134.82.80:32858/ysp04/haiouysp.php?id=19
CCTV8k,http://8.134.82.80:32858/ysp04/haiouysp.php?id=20
CGTN,http://8.134.82.80:32858/ysp04/haiouysp.php?id=21
CGTN记录,http://8.134.82.80:32858/ysp04/haiouysp.php?id=22
CGTN西语,http://8.134.82.80:32858/ysp04/haiouysp.php?id=23
CGTN法语,http://8.134.82.80:32858/ysp04/haiouysp.php?id=24
CGTN阿拉伯语,http://8.134.82.80:32858/ysp04/haiouysp.php?id=25
CGTN俄语,http://8.134.82.80:32858/ysp04/haiouysp.php?id=26
CCTV第一剧场,http://8.134.82.80:32858/ysp04/haiouysp.php?id=27
CCTV怀旧剧场,http://8.134.82.80:32858/ysp04/haiouysp.php?id=28
CCTV兵器科技,http://8.134.82.80:32858/ysp04/haiouysp.php?id=29
CCTV风云音乐,http://8.134.82.80:32858/ysp04/haiouysp.php?id=30
CCTV风云足球,http://8.134.82.80:32858/ysp04/haiouysp.php?id=31
CCTV央视台球,http://8.134.82.80:32858/ysp04/haiouysp.php?id=32
CCTV高尔夫网球,http://8.134.82.80:32858/ysp04/haiouysp.php?id=33
CCTV风云剧场,http://8.134.82.80:32858/ysp04/haiouysp.php?id=34
CCTV电视指南,http://8.134.82.80:32858/ysp04/haiouysp.php?id=35
CCTV女性时尚,http://8.134.82.80:32858/ysp04/haiouysp.php?id=36
CCTV世界地理,http://8.134.82.80:32858/ysp04/haiouysp.php?id=37
CCTV卫生健康,http://8.134.82.80:32858/ysp04/haiouysp.php?id=38
北京卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=39
东方卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=40
湖南卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=41
浙江卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=42
江苏卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=43
山东卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=44
安徽卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=45
广东卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=46
天津卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=47
东南卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=48
河北卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=49
河南卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=50
辽宁卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=51
黑龙江卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=52
深圳卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=53
湖北卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=54
江西卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=55
重庆卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=56
四川卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=57
广西卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=58
贵州卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=59
海南卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=60
新疆卫视,http://8.134.82.80:32858/ysp04/haiouysp.php?id=61

1V6,#genre#
CCTV1,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000131/1.m3u8
CCTV2,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000372/1.m3u8
CCTV4,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000485/1.m3u8
CCTV5+,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000132/1.m3u8
CCTV7,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000380/1.m3u8
CCTV9,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000373/1.m3u8
CCTV10,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000375/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000497/1.m3u8
CCTV12,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000377/1.m3u8
CCTV13,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000516/1.m3u8
CCTV14,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000378/1.m3u8
CCTV15,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000501/1.m3u8
CCTV17,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000494/1.m3u8
CGTN记录,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000528/1.m3u8
IPTV5,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000461/1.m3u8
安徽卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000368/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000197/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000198/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000199/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000203/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000204/1.m3u8
百视通,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000340/1.m3u8
北京卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000173/1.m3u8
福建东南卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000502/1.m3u8
广东卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000341/1.m3u8
贵州卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000489/1.m3u8
海南公共,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000382/1.m3u8
海南三沙卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000319/1.m3u8
海南少儿,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000323/1.m3u8
海南卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000262/1.m3u8
海南文旅,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000322/1.m3u8
海南新闻,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000321/1.m3u8
海南自贸,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/08984400000000060000000000000320/1.m3u8
河北卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000487/1.m3u8
黑龙江卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000175/1.m3u8
湖北卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000250/1.m3u8
湖南金鹰纪实,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000482/1.m3u8
湖南卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000174/1.m3u8
吉林卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000533/1.m3u8
江苏卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000177/1.m3u8
江西卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000522/1.m3u8
辽宁卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000367/1.m3u8
山东卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000364/1.m3u8
上海东方卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000182/1.m3u8
上海纪实人文,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000365/1.m3u8
深圳卫视,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000176/1.m3u8
