龍🐉直播中国,#genre#
吉林市临江门大桥,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
湖南张家界水绕四门,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
湖南张家界宝峰湖,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8
湖南张家界御笔峰,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
四川峨眉山云海日出,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
四川峨眉山远眺贡嘎雪山,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
四川峨眉山普贤菩萨铜像,https://gcalic.v.myalicdn.com/gc/emspxps_1/index.m3u8
四川峨眉山远眺万佛顶,https://gcalic.v.myalicdn.com/gc/emswfs_1/index.m3u8
新疆天山(定海神针),https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8
新疆天山(马牙山),https://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8
新疆天山(灯杆山),https://gcalic.v.myalicdn.com/gc/xjtcdgs_1/index.m3u8
湖南张家界天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
厦门鼓浪屿,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
广西玉林大容山莲花山顶,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
八里沟风景区桃花湾瀑布,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8
安徽池州九华山风景区花台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
江苏徐州云龙湖风景区云龙山观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
南京玄武湖公园,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8
云南丽江蓝月谷,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
云南丽江玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
云南丽江冰川,https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
云南丽江印象实景,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
江苏南京牛首山,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
福建漳州醉美沙滩翡翠湾,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
普陀山,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
浙江舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
四川四姑娘山隆珠措,https://gcalic.v.myalicdn.com/gc/sgns02_1/index.m3u8
丽江古城大水车,https://gcalic.v.myalicdn.com/gc/ljgcdsc_1/index.m3u8
丽江古城大研花巷观景,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8
丽江古城万古楼遥望玉龙雪山,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
雪乡梦幻家园,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8
雪乡大石碑,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8
乌镇西市河,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
乌镇龙形田,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8
乌镇全景,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
黄花城水长城01,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8
黄花城水长城02,https://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8
黄花城水长城03,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8
月牙泉,https://gcalic.v.myalicdn.com/gc/dhyyqsm_1/index.m3u8
鸣沙山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
五彩池,https://gcalic.v.myalicdn.com/gc/hlwcc_1/index.m3u8
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
泰山主峰,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8
泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8
泰山望人松,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
泰山白云亭悬崖,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
泰山南天门,https://gcalic.v.myalicdn.com/gc/hkts07_1/index.m3u8
泰山太平岭,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
泰山碧霞祠,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
黄山始信新道,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
黄山排云亭,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8
黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8
黄山,https://gcalic.v.myalicdn.com/gc/ahhs01_1/index.m3u8
陕西洋县国宝朱鹮02,https://gcalic.v.myalicdn.com/gc/zh02_1/index.m3u8
安徽黟县西递牌坊,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8
安徽黟县芦村远眺,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8
中央电视塔东,https://gcalic.v.myalicdn.com/gc/ztd_1/index.m3u8
中央电视塔南,https://gcalic.v.myalicdn.com/gc/ztn_1/index.m3u8
恒山悬空寺全景,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8
黄果树六角亭瀑布,https://gcalic.v.myalicdn.com/gc/hgsspzxdpb_1/index.m3u8
天涯石,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8
六盘山红军长征景区,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
云南大理崇圣寺三塔中景,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
云南大理崇圣寺三塔远景,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8
广西桂林漓江景区,https://gcalic.v.myalicdn.com/gc/gllj01_1/index.m3u8
青岛崂山双福,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
青岛崂山八水河,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8
张掖七彩丹霞,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
都江堰鱼嘴,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
乐山大佛全景,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
四川成都安顺廊桥,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8
陕西凤堰古梯田,https://gcalic.v.myalicdn.com/gc/cntv407-zbzg_1/index.m3u8
广东汕头市小公园,https://gcalic.v.myalicdn.com/gc/bsszjs_1/index.m3u8
西藏林芝工布公园,https://gcalic.v.myalicdn.com/gc/bsszbcs_1/index.m3u8
云南建水双龙桥,https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8
陕西西安周至水街二号码头,https://gcalic.v.myalicdn.com/gc/cntv414-zbzg_1/index.m3u8
陕西汉中宁强县青木川古镇,https://gcalic.v.myalicdn.com/gc/cntv406-zbzg_1/index.m3u8
陕西西安樊川,https://gcalic.v.myalicdn.com/gc/cntv506-zbzg_1/index.m3u8
陕西西安蓝田县白鹿原,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8
吉林四平战役纪念馆,https://gctxyc.liveplay.myqcloud.com/gc/taishan04_1/index.m3u8
北京钟鼓楼,https://gctxyc.liveplay.myqcloud.com/gc/ztd_1_md.m3u8
山西运城圣天湖,https://gctxyc.liveplay.myqcloud.com/gc/cntv486-zbzg_1/index.m3u8
内蒙古呼伦贝尔哈萨尔大桥,https://gctxyc.liveplay.myqcloud.com/gc/ytshsx_1/index.m3u8
辽宁沈阳浑河桥,https://gctxyc.liveplay.myqcloud.com/gc/ljgcdsc_1/index.m3u8
中车齐车集团,https://gctxyc.liveplay.myqcloud.com/gc/zhhd01_1/index.m3u8
黑龙江哈尔滨霁虹桥,https://gctxyc.liveplay.myqcloud.com/gc/hkts09_1/index.m3u8
江苏无锡大剧院,https://gctxyc.liveplay.myqcloud.com/gc/hkts07_1/index.m3u8
江苏南京玄武湖,https://gctxyc.liveplay.myqcloud.com/gc/xwh01_1/index.m3u8
上海南浦大桥,https://gctxyc.liveplay.myqcloud.com/gc/tjhh01_1/index.m3u8
浙江台州三门核电站,https://gctxyc.liveplay.myqcloud.com/gc/hsptgz_1/index.m3u8
浙江舟山沈家门渔港,https://gctxyc.liveplay.myqcloud.com/gc/hgsspzxdpb_1/index.m3u8
安徽歙县西递牌坊,https://gctxyc.liveplay.myqcloud.com/gc/yxxdpf_1/index.m3u8
福建福安赛岐镇象环葡萄园,https://gctxyc.liveplay.myqcloud.com/gc/cntv402-zbzg_1/index.m3u8
福建南平茶平乡万亩茶园,https://gctxyc.liveplay.myqcloud.com/gc/cntv401-zbzg_1/index.m3u8
福建莆田湄洲妈祖祖庙,https://gctxyc.liveplay.myqcloud.com/gc/yxhcyz_1/index.m3u8
福建武夷山,https://gctxyc.liveplay.myqcloud.com/gc/wysynf_1/index.m3u8
山东威海成山头,https://gctxyc.liveplay.myqcloud.com/gc/drs01_1/index.m3u8
河南信阳汪桥镇思乡谷,https://gctxyc.liveplay.myqcloud.com/gc/cntv546-zbzg_1/index.m3u8
湖南郴州仰天湖,https://gctxyc.liveplay.myqcloud.com/gc/cntv451-zbzg_1/index.m3u8
广东车八岭国家级自然保护区,https://gctxyc.liveplay.myqcloud.com/gc/ztx_1/index.m3u8
广东珠海大剧院,https://gctxyc.liveplay.myqcloud.com/gc/dxsdtts_1/index.m3u8
海南七仙岭温泉国家森林公园,https://gctxyc.liveplay.myqcloud.com/gc/cntv549-zbzg_1/index.m3u8
重庆李子坝站轻轨,https://gctxyc.liveplay.myqcloud.com/gc/ylh04_1/index.m3u8
重庆李子坝站轻轨,https://gctxyc.liveplay.myqcloud.com/gc/ylh04_1_md.m3u8
贵州黔南州瓮安县建中镇,https://gctxyc.liveplay.myqcloud.com/gc/ytsbjy_1/index.m3u8
贵州六盘水野玉海度假区玻璃桥,https://gctxyc.liveplay.myqcloud.com/gc/cntv535-zbzg_1/index.m3u8
贵州黄果树瀑布,https://gctxyc.liveplay.myqcloud.com/gc/nxspthhpl_1/index.m3u8
贵州黄果树瀑布,https://gctxyc.liveplay.myqcloud.com/gc/nxspthhpl_1_md.m3u8
陕西汉中渔渡风景区,https://gctxyc.liveplay.myqcloud.com/gc/cntv404-zbzg_1/index.m3u8
陕西西安樊川,https://gctxyc.liveplay.myqcloud.com/gc/cntv506-zbzg_1/index.m3u8
陕西渭河湿地公园景区,https://gctxyc.liveplay.myqcloud.com/gc/zh02_1_md.m3u8
陕西榆林杨家沟革命旧址,https://gctxyc.liveplay.myqcloud.com/gc/bgws7_1/index.m3u8
宁夏将台堡,https://gctxyc.liveplay.myqcloud.com/gc/hlxsd_1/index.m3u8
宁夏沙坡头,https://gctxyc.liveplay.myqcloud.com/gc/cntv466-zbzg_1/index.m3u8
新疆巩留县蝶湖景区,https://gctxyc.liveplay.myqcloud.com/gc/hgsylztpb_1/index.m3u8
新疆喀什达瓦昆景区,https://gctxyc.liveplay.myqcloud.com/gc/cntv524-zbzg_1/index.m3u8
四川成都春熙路太古里,https://gctxyc.liveplay.myqcloud.com/gc/lhssjzd_1/index.m3u8
四川成都环球中心,https://gctxyc.liveplay.myqcloud.com/gc/jsh02_1/index.m3u8
四川甘孜州石渠县,https://gctxyc.liveplay.myqcloud.com/gc/dlst02_1/index.m3u8
四川黄龙五彩池,https://gctxyc.liveplay.myqcloud.com/gc/hlwcc_1/index.m3u8
四川西昌市邛海景区,https://gctxyc.liveplay.myqcloud.com/gc/xcqh01_1/index.m3u8
四川峨眉山普贤菩萨,https://gctxyc.liveplay.myqcloud.com/gc/gccntv241-slf01_1/index.m3u8
成都大熊猫幼年园A,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao03_2/index.m3u8
都江堰大熊猫24小时,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
都江堰大熊猫B,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao12_2/index.m3u8
都江堰大熊猫D,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao14_2/index.m3u8
都江堰大熊猫E,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao15_2/index.m3u8
都江堰大熊猫F,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao16_2/index.m3u8
都江堰大熊猫G,https://gcwbndali.v.myalicdn.com/gcwbnd/xiongmao20_2/index.m3u8
成都大熊猫幼年园B,https://gcwbndcnc.v.wscdns.com/gcwbnd/xiongmao04_2/index.m3u8
成都大熊猫母子园B,https://gcwbndcnc.v.wscdns.com/gcwbnd/xiongmao08_2/index.m3u8
都江堰大熊猫C,https://gcwbndcnc.v.wscdns.com/gcwbnd/xiongmao13_2/index.m3u8
成都大熊猫成年园B,https://gcwbndtxy.liveplay.myqcloud.com/gcwbnd/xiongmao02_2/index.m3u8
成都大熊猫幼儿园B,https://gcwbndtxy.liveplay.myqcloud.com/gcwbnd/xiongmao06_2/index.m3u8
成都大熊猫一号别墅A,https://gcwbndtxy.liveplay.myqcloud.com/gcwbnd/xiongmao09_2/index.m3u8
都江堰大熊猫24小时,https://gcwbndtxy.liveplay.myqcloud.com/gcwbnd/ipanda1000_2/index.m3u8
成都大熊猫母子园A,https://gcwbndbd.a.bdydns.com/gcwbnd/xiongmao07_2/index.m3u8
成都大熊猫一号别墅B,https://gcwbndbd.a.bdydns.com/gcwbnd/xiongmao10_2/index.m3u8
湖南张家界天门山天空步道,https://mlivewbndtxy.liveplay.myqcloud.com/mlivewbnd/mlive_djy03_2/index.m3u8
陕西榆林神木市大柳塔镇,https://mlivewbndbd.a.bdydns.com/mlivewbnd/mlive_sls02_2/index.m3u8
成都大熊猫24小时,https://gcwbcdbd.a.bdydns.com/gcwbcd/cdrmipanda_1/index.m3u8
新疆天山(定海神针),http://gctxyc.liveplay.myqcloud.com/gc/xjtcdhsz_1/index.m3u8
黄花城水长城02,http://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8
仙都风景视,http://gctxyc.liveplay.myqcloud.com/gc/xdfjq01_1/index.m3u8


龍🐉重温经典,#genre#

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://mtw.so/5NPX0U
金庸剧场,http://live.dxms.top/dwy/jyjc.php
星光剧场,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
经典喜剧,http://live.dxms.top/dwy/jdxj1.php
经典喜剧,http://live.dxms.top/dwy/jdxj.php
抗战剧,http://live.iill.top/yy.php?id=1507704566
封神榜86版,http://live.iill.top/yy.php?id=1353426319
红楼梦87版,http://live.iill.top/yy.php?id=1382745084
三国演义94版,http://live.iill.top/yy.php?id=1354930932
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=txcdn
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=hscdn
新水浒传11版,http://159.75.85.63:35455/huya/11342384?cdn=hwcdn
天龙八部黄日华版,http://live.iill.top/yy.php?id=1351814644
神雕侠侣古天乐版,http://159.75.85.63:35455/huya/23865171?cdn=hwcdn
笑傲江湖吕颂贤版,http://159.75.85.63:35455/huya/23865142?cdn=txcdn
笑傲江湖吕颂贤版,http://159.75.85.63:35455/huya/23865142?cdn=hwcdn
倚天屠龙记吴启华版,http://159.75.85.63:35455/huya/23734246?cdn=txcdn
倚天屠龙记吴启华版,http://159.75.85.63:35455/huya/23734246?cdn=hwcdn
倚天屠龙记苏有朋版,http://live.iill.top/yy.php?id=1449856066
包青天93,http://live.iill.top/yy.php?id=1356158015
神雕侠侣,http://live.iill.top/yy.php?id=1351762426
鹿鼎记,http://live.iill.top/yy.php?id=28265277
笑傲江湖,http://live.iill.top/yy.php?id=1354930909
武林外传,http://live.iill.top/yy.php?id=21092633
四大名捕,http://live.iill.top/yy.php?id=1354936203
笑傲江湖2,http://live.iill.top/yy.php?id=1354282410
寻秦记,http://live.iill.top/yy.php?id=1382851591
寒山潜龙,http://live.iill.top/yy.php?id=1382745103
隋唐英雄传,http://live.iill.top/yy.php?id=1352475619
老三国,http://159.75.85.63:35455/huya/11602081?cdn=hwcdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=txcdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=hscdn
新三国,http://159.75.85.63:35455/huya/11352944?cdn=hwcdn
庆余年,http://159.75.85.63:35455/huya/11352960?cdn=txcdn
庆余年,http://159.75.85.63:35455/huya/11352960?cdn=hwcdn
雍正王朝,http://159.75.85.63:35455/huya/11342439?cdn=txcdn
雍正王朝,http://159.75.85.63:35455/huya/11342439?cdn=hwcdn
少年包青天,http://live.iill.top/yy.php?id=1356043677
少年包青天1-3,http://live.iill.top/yy.php?id=38498680
少年包青天3,http://live.iill.top/yy.php?id=1382851540
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=txcdn
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=hscdn
风云雄霸天下,http://159.75.85.63:35455/huya/21059612?cdn=hwcdn
封神榜陈浩民版,http://159.75.85.63:35455/huya/23749096?cdn=hwcdn
少年张三丰,http://159.75.85.63:35455/huya/26355824?cdn=hwcdn
倚天屠龙记,http://159.75.85.63:35455/huya/11342403?cdn=txcdn
燕双鹰,http://live.iill.top/yy.php?id=1354143942
武工队传奇,http://live.iill.top/yy.php?id=22089862
打狗棍,http://live.iill.top/yy.php?id=39736069
地下交通站,http://live.iill.top/yy.php?id=37880083
地下交通站,http://live.iill.top/yy.php?id=1382736795
地下交通站,http://live.iill.top/yy.php?id=1353428972
地下交通站,http://159.75.85.63:35455/huya/11342433?cdn=hwcdn
