客都梅州,#genre#
CCTV-17农业农村,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv
CETV-中国教育1,http://222.218.158.56:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-中国教育2,http://111.225.114.68:808/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-中国教育4,http://111.225.114.68:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://111.225.114.68:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云剧场,http://111.225.114.68:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV怀旧剧场,http://111.225.114.68:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云音乐,http://111.225.114.68:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云足球,http://111.225.114.68:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-风云足球,http://59.62.8.250:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-发现之旅,http://cdn.u55u.cn/migu.php?id=fxzl
CCTV-老故事,http://cdn.u55u.cn/migu.php?id=lgs
CCTV-中学生,http://cdn.u55u.cn/migu.php?id=zxs
CGTN西班牙语,http://cdn.u55u.cn/migu.php?id=cgtne
CGTN阿拉伯语,http://cdn.u55u.cn/migu.php?id=cgtna
CGTN法语,http://cdn.u55u.cn/migu.php?id=cgtnf
CCTV-1综合,http://8.218.11.245:91/api/channel/9vem6/8183cT.m3u8
CCTV-2财经,http://8.218.11.245:91/api/channel/9vem6/cctv2.m3u8
CCTV-3综艺,http://8.218.11.245:91/api/channel/9vem6/cctv3.m3u8
CCTV-4中文国际,http://8.218.11.245:91/api/channel/9vem6/cctv4.m3u8
CCTV-5体育,http://8.218.11.245:91/api/channel/9vem6/cctv5.m3u8
CCTV-5+体育赛事,http://8.218.11.245:91/api/channel/9vem6/cctv5p.m3u8
CCTV-6电影,http://8.218.11.245:91/api/channel/9vem6/CCTV6.m3u8
CCTV-7国防军事,http://8.218.11.245:91/api/channel/9vem6/cctv7.m3u8
CCTV-8电视剧,http://8.218.11.245:91/api/channel/9vem6/cctv8.m3u8
CCTV-9纪录,http://8.218.11.245:91/api/channel/9vem6/cctv9.m3u8
CCTV-10科教,http://8.218.11.245:91/api/channel/9vem6/cctv10.m3u8
CCTV-11戏曲,http://8.218.11.245:91/api/channel/9vem6/cctv11.m3u8
CCTV-12社会与法,http://8.218.11.245:91/api/channel/9vem6/cctv12.m3u8
CCTV-13新闻,http://8.218.11.245:91/api/channel/9vem6/cctv13.m3u8
CCTV-14少儿,http://8.218.11.245:91/api/channel/9vem6/cctv14.m3u8
CCTV-15音乐,http://8.218.11.245:91/api/channel/9vem6/cctv15.m3u8
CCTV-16奥林匹克,http://8.218.11.245:91/api/channel/9vem6/cctv16.m3u8
CCTV-17农业农村,http://8.218.11.245:91/api/channel/9vem6/cctv17.m3u8
CCTV4K,http://8.218.11.245:91/api/channel/9vem6/cctv4k.m3u8
CCTV世界地理,http://8.218.11.245:91/api/channel/9vem6/cctvdl.m3u8
CCTV兵器科技,http://8.218.11.245:91/api/channel/9vem6/cctvbq.m3u8
CCTV女性时尚,http://8.218.11.245:91/api/channel/9vem6/cctvnxss.m3u8
CCTV怀旧剧场,http://8.218.11.245:91/api/channel/9vem6/cctvhjjc.m3u8
CCTV第一剧场,http://8.218.11.245:91/api/channel/9vem6/cctvdyjc.m3u8
CCTV风云剧场,http://8.218.11.245:91/api/channel/9vem6/cctvfyjc.m3u8
CCTV风云音乐,http://8.218.11.245:91/api/channel/9vem6/cctvfyyy.m3u8
CCTV高尔夫网球,http://8.218.11.245:91/api/channel/9vem6/cctvgefwq.m3u8
CCTV-11戏曲,http://cdn.u55u.cn/migu.php?id=cctv11
CCTV-5+体育赛事,http://111.225.114.68:808/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://111.225.114.68:808/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://111.225.114.68:808/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17农业农村,http://111.225.114.68:808/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://111.67.193.2:88/283733/ysp.php?id=cctv1
CCTV-1综合,http://ddns.cyruslee.top:8888/udp/239.77.1.144:5146
CCTV-1综合,http://cysan.gzcy020.com.cn:50000/rtp/239.77.1.17:5146
CCTV-1综合,http://123.14.80.242:8888/hls/1/index.m3u8
CCTV-1综合,http://xwh.8211321.com:5555/rtp/239.61.3.61:9884
CCTV-1综合,http://www.yao87.com:4022/udp/239.76.246.151:1234$湖南电信组播
CCTV-1综合,http://istore4.qnas.net:8889/udp/226.0.2.153:9136
CCTV-1综合,http://sweetown.fun:4000/udp/239.3.1.129:8008$北京联通组播
CCTV-2财经,http://171.117.201.14:8084/rtp/226.0.2.154:9144
CCTV-2财经,http://123.14.80.242:8888/hls/2/index.m3u8
CCTV-2财经,http://111.74.155.231:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://dl.lck.xyz:4000/udp/239.77.1.158:5146
CCTV-2财经,http://1.70.35.109:8085/udp/239.1.1.8:8008
CCTV-2财经,http://sunny2017.forver.one:4022/udp/239.21.1.151:5002
CCTV-2财经,http://60.220.167.133:8082/rtp/226.0.2.154:9144
CCTV-2财经,http://171.117.72.199:8084/rtp/226.0.2.154:9144
CCTV-2财经,http://gd.ikhs.cn:8880/rtp/239.69.1.102:10250
CCTV-3综艺,http://www.yao87.com:4022/udp/239.76.253.153:9000
CCTV-3综艺,http://123.154.30.3:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://110.7.128.194:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://chj0827.cn:3838/udp/239.16.20.3:10030
CCTV-3综艺,http://www.191919.xyz:8888/udp/238.1.78.170:7232$安徽电信组播
CCTV-4中文国际,http://xingyang.net.cn:4000/udp/225.1.5.30:1333
CCTV-4中文国际,http://www.191919.xyz:8888/udp/238.1.78.236:7760$安徽电信组播
CCTV-4中文国际,http://ddns.cyruslee.top:8888/udp/239.77.1.166:5146
CCTV-4中文国际,http://www.lebaobei.top:6868/udp/239.255.30.83:8231
CCTV-4中文国际,http://222.89.107.42:9876/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://58.220.219.14:9901/tsfile/live/0004_1.m3u8
CCTV-4中文国际,http://istore4.qnas.net:8889/udp/226.0.2.156:9160
CCTV-4中文国际,http://110.7.128.177:8096/tsfile/live/0005_1.m3u8
CCTV-5体育,http://123.154.30.3:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://istore4.qnas.net:8889/udp/226.0.2.209:9584
CCTV-5体育,http://zhangjiang.lawangxian.com:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://60.174.40.117:9901/tsfile/live/0005_1.m3u8
CCTV-5体育,http://110.7.128.200:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://chj0827.cn:3838/udp/239.16.20.53:10530
CCTV-5体育,http://222.89.107.42:9876/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5⁺体育赛事,http://sweetown.fun:4000/udp/239.3.1.130:8004$北京联通组播
CCTV-5⁺体育赛事,http://gd.ikhs.cn:8880/rtp/239.254.96.234:9484
CCTV-5⁺体育赛事,http://ddns.cyruslee.top:8888/udp/239.77.0.87:5146
CCTV-5⁺体育赛事,http://dl.lck.xyz:4000/udp/239.77.1.31:5146
CCTV-5⁺体育赛事,http://dqr028.oicp.net:4022/udp/239.93.1.36:8004
CCTV-5⁺体育赛事,http://www.191919.xyz:8888/udp/238.1.78.237:7768$安徽电信组播
CCTV-5⁺体育赛事,http://pwd.unnas.top:4000/rtp/239.253.92.82:8013$河北联通组播
CCTV-5⁺体育赛事,http://www.yao87.com:4022/udp/239.76.253.168:9000
CCTV-5⁺体育赛事,http://171.117.201.14:8084/rtp/226.0.2.168:9256
CCTV-6电影,http://123.154.30.3:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://ddns.cyruslee.top:8888/udp/239.77.0.171:5146
CCTV-6电影,http://121.27.126.103:809/hls/6/index.m3u8
CCTV-6电影,http://171.117.201.14:8083/rtp/226.0.2.210:9592
CCTV-6电影,http://gzly.softether.net:6005/udp/239.252.219.237:5140
CCTV-6电影,http://www.yao87.com:4022/udp/239.76.253.156:9000
CCTV-6电影,http://www.191919.xyz:8888/udp/238.1.78.172:7248$安徽电信组播
CCTV-6电影,http://113.24.136.66:8082/udp/239.1.1.13:8013
CCTV-7国防军事,http://123.154.30.3:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7国防军事,http://rt4.orangevip.top:8999/rtp/232.0.0.136:1234
CCTV-7国防军事,http://www.191919.xyz:8888/udp/238.1.78.239:7784$安徽电信组播
CCTV-7国防军事,http://121.19.134.140:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://istore4.qnas.net:8889/udp/226.0.2.159:9184
CCTV-7国防军事,http://xwh.8211321.com:5555/rtp/239.61.2.175:9038
CCTV-7国防军事,http://171.117.72.199:8084/rtp/226.0.2.159:9184
CCTV-7国防军事,http://171.117.201.14:8082/rtp/226.0.2.159:9184
CCTV-7国防军事,http://123.183.24.94:6666/tsfile/live/0007_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://110.52.99.109:9901/tsfile/live/1007_1.m3u8
CCTV-8电视剧,http://123.154.30.3:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视剧,http://171.117.201.14:8085/rtp/226.0.2.211:9600
CCTV-8电视剧,http://cysan.gzcy020.com.cn:50000/rtp/239.77.0.172:5146
CCTV-8电视剧,http://171.117.201.14:8083/rtp/226.0.2.211:9600
CCTV-8电视剧,http://1.24.190.98:10080/hls/8/index.m3u8
CCTV-8电视剧,http://www.8700956.top:18888/rtp/239.81.0.234:4056
CCTV-8电视剧,http://iptv123.msns.cn:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://123.154.30.3:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9纪录,http://www.yao87.com:4022/udp/239.76.253.159:9000
CCTV-9纪录,http://221.205.112.251:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://ddns.cyruslee.top:8888/udp/239.77.0.135:5146
CCTV-9纪录,http://dqr028.oicp.net:4022/udp/239.93.1.24:5140
CCTV-9纪录,http://221.226.4.10:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://www.191919.xyz:8888/udp/238.1.78.240:7792$安徽电信组播
CCTV-9纪录,http://171.117.201.14:8084/rtp/226.0.2.161:9200
CCTV-9纪录,http://pwd.unnas.top:4000/rtp/239.253.92.107:6020$河北联通组播
CCTV-10科教,http://58.220.219.14:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://1.70.35.109:8085/udp/239.1.1.17:8017
CCTV-10科教,http://171.117.201.14:8084/rtp/226.0.2.162:9208
CCTV-10科教,http://221.226.4.10:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://113.24.136.66:8082/udp/239.1.1.17:8017
CCTV-10科教,http://iptv123.msns.cn:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://111.225.114.165:808/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://171.117.201.14:8082/rtp/226.0.2.162:9208
CCTV-11戏曲,http://ddns.cyruslee.top:8888/udp/239.77.1.238:5146
CCTV-11戏曲,http://xwh.8211321.com:5555/rtp/239.61.2.21:8120
CCTV-11戏曲,http://xingyang.net.cn:4000/udp/225.1.4.215:1268
CCTV-11戏曲,http://121.19.134.140:808/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://wouu.net:9977/udp/239.93.0.102:5140
CCTV-11戏曲,http://sweetown.fun:4000/udp/239.3.1.152:8120$北京联通组播
CCTV-11戏曲,http://www.191919.xyz:8888/udp/238.1.78.206:7502$安徽电信组播
CCTV-11戏曲,http://111.225.114.165:808/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://sunny2017.forver.one:4022/udp/239.21.1.156:5002
CCTV-12社会与法,http://171.117.201.14:8084/rtp/226.0.2.164:9224
CCTV-12社会与法,http://123.154.30.3:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12社会与法,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://171.117.201.14:8082/rtp/226.0.2.164:9224
CCTV-12社会与法,http://www.yao87.com:4022/udp/239.76.253.162:9000
CCTV-13新闻,http://113.24.136.66:8083/udp/239.1.1.20:8020
CCTV-13新闻,http://1.70.35.109:8085/udp/239.1.1.20:8020
CCTV-13新闻,http://60.220.167.133:8082/rtp/226.0.2.165:9232
CCTV-13新闻,http://istore4.qnas.net:8889/udp/226.0.2.165:9232
CCTV-13新闻,http://123.154.30.3:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://www.yao87.com:4022/udp/239.76.253.93:9000
CCTV-13新闻,http://cysan.gzcy020.com.cn:50000/rtp/239.253.43.196:5146
CCTV-14少儿,http://sweetown.fun:4000/udp/239.3.1.65:8132$北京联通组播
CCTV-14少儿,http://123.14.80.242:8888/hls/14/index.m3u8
CCTV-14少儿,http://60.174.40.117:9901/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://121.27.126.103:809/hls/14/index.m3u8
CCTV-14少儿,http://221.205.112.251:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://gd.ikhs.cn:8880/rtp/239.69.1.107:10280
CCTV-14少儿,http://www.yao87.com:4022/udp/239.76.253.164:9000
CCTV-15音乐,http://www.191919.xyz:8888/udp/238.1.78.222:7648$安徽电信组播
CCTV-15音乐,http://123.183.24.94:6666/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://cd.sy012.com:4000/rtp/232.0.0.169:9342
CCTV-15音乐,http://pwd.unnas.top:4000/rtp/239.253.93.154:6322$河北联通组播
CCTV-15音乐,http://chj0827.cn:3838/udp/239.16.20.15:10150
CCTV-15音乐,http://gzly.softether.net:6005/udp/239.252.219.79:5140
CCTV-15音乐,http://sweetown.fun:4000/udp/239.3.1.153:8136$北京联通组播
CCTV-15音乐,http://www.8700956.top:18888/rtp/239.81.1.016:4056
CCTV-16奥林匹克,http://gd.ikhs.cn:8880/rtp/239.69.1.247:11124
CCTV-16奥林匹克,http://60.220.167.133:8082/rtp/226.0.2.169:9264
CCTV-16奥林匹克,http://ddns.cyruslee.top:8888/udp/239.77.0.165:5146
CCTV-16奥林匹克,http://www.yao87.com:4022/udp/239.76.253.224:9000
CCTV-16奥林匹克,http://113.24.136.66:8084/udp/239.1.1.122:8122
CCTV-16奥林匹克,http://ddns.cyruslee.top:8888/udp/239.77.1.76:5146
CCTV-16奥林匹克,http://171.117.72.199:8084/rtp/226.0.2.169:9264
CCTV-16奥林匹克,http://ddns.cyruslee.top:8888/udp/239.77.1.98:5146
CCTV-16奥林匹克,http://171.117.201.14:8082/rtp/226.0.2.169:9264
CCTV-16奥林匹克,http://1.70.35.109:8085/udp/239.1.1.122:8122
CCTV-17农业农村,http://ssrs2004.win:8888/udp/239.109.205.88:8640
CCTV-17农业农村,http://171.117.201.14:8084/rtp/226.0.2.170:9272
CCTV-17农业农村,http://171.117.201.14:8083/rtp/226.0.2.170:9272
CCTV-17农业农村,http://171.117.72.199:8084/rtp/226.0.2.170:9272
CCTV-17农业农村,http://www.yao87.com:4022/udp/239.76.245.238:1234$湖南电信组播
CCTV-17农业农村,http://1.70.35.109:8083/udp/239.1.1.23:8023
CCTV-17农业农村,http://dl.lck.xyz:4000/udp/239.77.0.198:5146
CCTV-17农业农村,http://113.24.136.66:8082/udp/239.1.1.23:8023
CCTV-17农业农村,http://www.8700956.top:18888/rtp/239.81.0.228:4056
